Clave_Alumno,Nombre_Alumno,Matemáticas,Español,Historia,Ciencias,Inglés,Promedio Tareas,Promedio Puntualidad,Promedio Asistencia,Promedio_Materias,pon_mat,pon_tar,pon_pun,pon_asi,cal_final,Estatus
SEC1002,Carla Mateo,5.3,5.4,7.0,5.5,8.0,8.1,8.0,9.63,6.2,3.7,2.4,0.4,0.5,7.0,Aprobado
SEC1003,María Elena Armendáriz,5.8,6.7,6.7,6.2,5.0,6.4,8.8,7.67,6.1,3.6,1.9,0.4,0.4,6.3,Aprobado
SEC1004,Héctor Espinosa de la Crúz,6.6,7.2,9.5,5.5,5.7,6.1,9.7,8.93,6.9,4.1,1.8,0.5,0.4,6.8,Aprobado
SEC1005,Cristian Lozano,6.3,9.2,8.8,6.7,9.0,8.4,8.6,9.52,8.0,4.8,2.5,0.4,0.5,8.2,Aprobado
SEC1006,Frida Tomás Aguirre Manzanares,6.6,7.0,8.8,7.6,4.0,8.7,9.7,8.72,6.8,4.1,2.6,0.5,0.4,7.6,Aprobado
SEC1007,Sandra Cano Rojas,8.3,6.9,5.2,8.8,5.9,9.7,9.0,7.93,7.0,4.2,2.9,0.4,0.4,7.9,Aprobado
SEC1008,Andrea Clemente Godínez Sevilla,6.7,7.0,5.4,7.3,3.0,6.8,7.3,9.07,5.9,3.5,2.0,0.4,0.5,6.4,Aprobado
SEC1009,Citlali Delgado,5.1,6.8,6.1,7.7,8.6,8.6,10.0,9.91,6.9,4.1,2.6,0.5,0.5,7.7,Aprobado
SEC1010,Salma Gómez Sisneros,8.1,6.2,7.4,5.9,9.0,9.0,7.1,7.84,7.3,4.4,2.7,0.4,0.4,7.9,Aprobado
SEC1011,Mateo Pablo Soto Vélez,6.0,6.3,6.8,6.4,7.2,6.4,7.2,8.39,6.5,3.9,1.9,0.4,0.4,6.6,Aprobado
SEC1012,Aida Vanesa Ramírez,5.4,7.2,5.0,7.7,5.4,7.6,10.0,8.16,6.1,3.7,2.3,0.5,0.4,6.9,Aprobado
SEC1013,Porfirio Nieto Olvera,7.4,8.8,6.7,6.7,8.2,9.5,8.3,9.29,7.6,4.5,2.8,0.4,0.5,8.2,Aprobado
SEC1014,Andrés Zacarías Botello Saucedo,8.4,6.9,6.2,5.4,8.0,8.1,8.6,7.87,7.0,4.2,2.4,0.4,0.4,7.4,Aprobado
SEC1015,Diego Luis Manuel Moreno,8.3,9.6,8.9,6.9,5.6,8.1,8.9,9.51,7.9,4.7,2.4,0.4,0.5,8.0,Aprobado
SEC1016,Angélica Yeni Henríquez,6.9,5.3,5.7,8.3,6.7,9.0,9.9,9.17,6.6,3.9,2.7,0.5,0.5,7.6,Aprobado
SEC1017,Ramón Vélez Aragón,6.5,9.0,5.1,7.6,9.4,6.5,8.5,8.86,7.5,4.5,2.0,0.4,0.4,7.3,Aprobado
SEC1020,Jacobo Natividad Escobar Guerrero,6.7,7.7,9.6,9.0,7.7,7.9,9.2,9.44,8.1,4.9,2.4,0.5,0.5,8.3,Aprobado
SEC1021,Esparta Roberto Bernal Niño,6.3,9.2,7.9,7.4,7.0,8.0,7.4,9.09,7.6,4.5,2.4,0.4,0.5,7.8,Aprobado
SEC1022,Adela Samaniego Ramos,9.5,9.0,8.0,7.5,8.5,6.2,9.6,8.4,8.5,5.1,1.9,0.5,0.4,7.9,Aprobado
SEC1023,Silvia Cardenas,8.3,7.1,6.8,8.9,6.7,9.3,7.5,9.94,7.6,4.5,2.8,0.4,0.5,8.2,Aprobado
SEC1027,Noemí Ayala,6.4,9.8,5.9,5.1,8.3,7.9,7.1,10.0,7.1,4.3,2.4,0.4,0.5,7.6,Aprobado
SEC1028,Karina Mauro de la O,5.7,9.4,9.5,6.1,9.3,9.6,9.7,9.44,8.0,4.8,2.9,0.5,0.5,8.7,Aprobado
SEC1029,Ana María Saldaña,6.4,7.9,9.9,6.6,6.9,6.3,7.8,7.92,7.5,4.5,1.9,0.4,0.4,7.2,Aprobado
